Sample_ID,d18O,x,y,z
0,6.5,4.93E+04,1.04E+05,38044.563
1,6.7,4.98E+04,1.11E+05,42130.896
2,5.6,5.31E+04,1.18E+05,46096.741
3,5.7,5.64E+04,1.24E+05,49129.499
4,4.5,6.90E+04,1.35E+05,60504.396
5,3.1,7.19E+04,1.58E+05,82786.258
6,3.9,6.62E+04,1.57E+05,82281.645
7,3.8,6.58E+04,1.61E+05,85488.569
8,5.4,6.48E+04,1.65E+05,88989.901
9,3.8,6.48E+04,1.68E+05,91880.877
10,3.5,6.43E+04,1.72E+05,94877.53
11,2.7,6.39E+04,1.80E+05,99169.077
12,4.3,8.92E+04,1.60E+05,84572.979
13,4,9.25E+04,1.70E+05,95571.331
14,6,1.08E+05,1.92E+05,100000
15,6.1,1.01E+05,1.96E+05,100000
16,5.8,1.24E+05,2.15E+05,100000
17,5.8,1.26E+05,2.18E+05,100000
18,5.9,1.27E+05,2.25E+05,100000
19,5.7,1.30E+05,2.32E+05,100000
20,4.9,1.33E+05,2.50E+05,100000
21,4.4,1.35E+05,2.53E+05,100000
22,4.8,1.35E+05,2.57E+05,100000
23,5.4,1.34E+05,2.62E+05,100000
24,5.7,1.56E+05,1.30E+05,56954.636
25,5.9,1.59E+05,1.36E+05,62705.655
26,5.9,1.74E+05,1.36E+05,62092.686
27,4.3,1.48E+05,3.76E+04,0
28,5.5,1.50E+05,4.50E+04,0
29,4.9,1.53E+05,5.29E+04,1962.4807
30,4.6,1.54E+05,5.93E+04,6209.968
31,5.3,1.56E+05,6.43E+04,9584.8025
32,4,1.64E+05,7.37E+04,16281.343
33,5.2,2.47E+05,2.72E+04,0
34,5.5,2.55E+05,5.29E+04,787.25302
35,3.5,2.75E+05,7.52E+04,22352.374
36,3.6,2.61E+05,8.11E+04,23805.231
37,3.6,2.59E+05,8.90E+04,29574.133
38,4,2.56E+05,7.72E+04,19611.709
39,3.9,2.41E+05,7.72E+04,17371.873
40,3.55,2.32E+05,7.32E+04,13545.569
41,3.5,2.28E+05,7.96E+04,18791.642
42,4.1,2.32E+05,8.70E+04,24780.169
43,3,3.33E+05,7.76E+04,23238.171
44,4.2,3.25E+05,7.76E+04,24497.408
45,4.7,3.16E+05,7.47E+04,23689.502
46,4.4,3.11E+05,7.17E+04,22042.473
47,4.2,3.05E+05,6.97E+04,20950.224
48,4.1,3.00E+05,7.12E+04,22057.567
49,4.4,2.83E+05,7.62E+04,24553.292
50,5.2,3.02E+05,8.36E+04,30927.406
51,5.1,3.00E+05,9.05E+04,36149.913
52,5.2,2.96E+05,9.69E+04,41238.199
53,5.6,2.92E+05,1.02E+05,45693.011
54,5.7,3.03E+05,1.09E+05,49865.075
55,5,3.06E+05,1.10E+05,50144.988
56,4.6,3.11E+05,1.13E+05,50883.478
57,5.6,3.19E+05,1.14E+05,50266.369
58,5.5,3.37E+05,1.16E+05,48277.824
59,3.9,3.44E+05,1.16E+05,47305.777
60,5.1,3.50E+05,1.17E+05,46751.751
61,5.5,3.56E+05,1.18E+05,45927.176
62,4.4,3.62E+05,1.09E+05,39205.429
63,2.5,3.66E+05,1.22E+05,47470.7
64,4.1,3.65E+05,1.34E+05,56756.136
65,5.1,3.42E+05,1.43E+05,68486.283
66,6,3.14E+05,1.41E+05,70291.586
67,4.9,2.85E+05,1.15E+05,52824.708
68,5.1,2.81E+05,1.14E+05,51494.653
69,4.4,2.75E+05,1.12E+05,49474.149
70,4.35,2.70E+05,1.15E+05,49441.569
71,5,2.62E+05,1.06E+05,42685.365
72,4,2.60E+05,1.00E+05,38161.207
73,5,2.35E+05,9.79E+04,33517.272
74,4.5,2.47E+05,1.10E+05,43377.146
75,6.5,2.49E+05,1.56E+05,82897.568
76,6.2,2.38E+05,1.66E+05,91191.059
77,8.2,2.37E+05,1.61E+05,86844.84
78,5.3,2.10E+05,1.53E+05,75414.804
79,6,2.09E+05,1.46E+05,69200.487
80,5.4,1.90E+05,1.34E+05,59188.333
81,4.6,2.10E+05,1.68E+05,88231.82
82,5.6,2.05E+05,1.86E+05,99778.868
83,5.7,2.00E+05,1.93E+05,100000
84,6,2.75E+05,1.36E+05,65040.121
