x,z,d18O,temp
4685.2,4773.5,16,30
4049,4778.3,16,30
3404,4819.9,16,30
2655.1,4864.2,16,30
1852.2,4958.5,16,30
1950.5,4883,14,70
2352,4835.8,14,70
2854.6,4749.5,14,70
3302.3,4701.1,14,70
3788.3,4700.3,14,70
4447.6,4694.8,14,70
4527.8,4534.8,12,110
3857.9,4552.7,12,110
3236.1,4593.6,12,110
2617,4670.9,12,110
2115.4,4769.3,12,110
1573.1,4941.7,10,150
1950.9,4737.2,10,150
2618.3,4537.2,10,150
3490.5,4441,10,150
4228.8,4409.2,10,150
1272.8,4949.7,10,150
1536.9,4772.6,10,150
1597.8,4661.6,10,150
1186.7,4733.4,10,150
752.1,4951.5,10,150
4589.1,4278.1,8,190
3872,4285.1,8,190
3182.7,4352.1,8,190
2461.6,4456.4,8,190
2001.1,4638.7,8,190
1807.3,4376.7,8,190
1325.9,4438.1,8,190
898.9,4753.2,8,190
4643.4,4082.3,6,230
4216,4093.7,6,230
3523,4112.2,6,230
2904,4189.5,6,230
2265.6,4315.9,6,230
1889.8,4095.1,6,230
1232,4270.6,6,230
905.1,4534.4,6,230
611.6,4930.9,6,230
4599.7,3816.3,4,270
3893.3,3810.8,4,270
3315.8,3826.3,4,270
2723.9,3805.6,4,270
2192.9,3674.1,4,270
1426.2,3937.5,4,270
865.2,4316.9,4,270
702.5,4758.4,4,270
4740.7,4893.5,17.5,0
4430.2,3420,2,310
3722.9,3402.4,2,310
3137.9,3320.9,2,310
2739,3100.8,2,310
2222.9,3163.2,2,310
1755.6,3406.4,2,310
1428.7,3670.2,2,310
966.1,3974.1,2,310
711,4418.1,2,310
534.9,4835.8,2,310
304.8,4854.1,2,310
41.9,4897.6,2,310
54.8,4763.6,0,350
223.3,4698.4,0,350
481.2,4740.1,0,350
633.3,4310.9,0,350
769.1,3821.4,0,350
1185.6,3518.8,0,350
1678.5,3007.7,0,350
2444.3,2732.1,0,350
3123.9,2689.7,0,350
3925.2,2874.8,0,350
4426.6,2922.1,0,350
4832.7,2935.5,0,350
4789.3,2523.7,-2,390
3965.5,2497.2,-2,390
3126.4,2422.4,-2,390
2289.2,2371.9,-2,390
1467.5,2673.2,-2,390
1023.6,3219.5,-2,390
632.7,3703.6,-2,390
528.4,4301.6,-2,390
440.3,4510.4,-2,390
183.7,4335.1,-2,390
35.1,4509.1,-2,390
24.2,1217.9,-2,390
69.4,2103.3,-2,390
196.1,2695.1,-2,390
389.9,2957.1,-2,390
569.1,2430,-2,390
704.7,1636.9,-2,390
919.9,975.3,-2,390
1396.9,707.5,-2,390
2590.3,724.2,-2,390
3502.4,845.6,-2,390
4353.1,920,-2,390
4900.6,966.1,-2,390
4790.3,2086.5,-2,390
4221.5,2065.2,-4,430
3510.4,1999.2,-4,430
2858,1943.8,-4,430
1974.6,1894.5,-4,430
1244.7,2035.5,-4,430
1076.5,1954.9,-4,430
1155.2,1624.9,-4,430
1489.8,1312.3,-4,430
2039.9,1091.1,-4,430
2960.8,1175.8,-4,430
3803.6,1299.1,-4,430
4540.7,1400.8,-4,430
4928.4,1475.5,-4,430
1671.8,1720.4,-4,430
1894.1,1301.5,-5,450
2714.1,1729,-5,450
2747.6,1412.3,-5,450
3358.1,1675.3,-5,450
4104.8,1752.6,-5,450
3565.4,1511.9,-5,450
4448.5,1706.9,-5,450
4679,644.1,-5,450
4399.1,165.7,-1,370
3489.7,530.1,-1,370
2686.8,175.1,-1,370
2043.1,532.3,-1,370
1460.6,183.5,-1,370
1039.5,425.6,-1,370
330.6,238,-1,370
288.1,737.1,-1,370
540.9,864,-1,370
360.1,1670.4,-1,370
354.7,2350.7,-1,370
