Sample,mE,mN,Lithology,Alteration,Temp,d18O,SiO2,Al2O3,Fe2O3t,MgO,CaO,Na2O,K2O
207495,727296,7658855,andesite,bg,200,5.4,65.55,12.13,10.61,4.62,0.42,1.78,0.15
207248,729100,7656133,andesite,bg,200,5.6,62.95,12.55,2.56,3.12,5.7,5.89,0.02
207259,729631,7655316,andesite,bg,200,6.3,64.32,11.48,11.49,1.94,1.38,5.67,0.04
207274,729797,7654108,andesite,bg,200,6.3,64.87,12.08,9.01,1.95,1.77,6.16,0.04
207192,728620,7657802,andesite,bg,200,5,64.22,12.01,10.22,3.77,0.93,4.21,0.04
207195,728880,7657480,andesite,bg,200,5.32,62.71,11.07,8.04,4.48,2.57,1.88,0.97
207196,728736,7657394,andesite,bg,200,4.96,61.77,11.5,6.2,3.96,3.48,5.14,0.01
207212,724138,7658233,andesite,bg,200,6.99,59.67,11.45,9.29,1.89,5.27,3.07,0.86
207219,725300,7657326,andesite,bg,200,4.26,65.36,12.04,8.84,4.92,0.38,3.08,0.3
207335,730153,7649103,andesite-basalt,bg,200,4.3,56.83,11.47,12.26,5.36,3.03,2.27,0.53
207131,727989,7658833,andesite-basalt,bg,200,4.45,59.46,11.21,12.38,4.24,2.75,2.75,0.08
207363,731141,7647032,andesite-basalt,bg,200,4.7,53.06,12.34,14.44,4.36,3.85,2.98,1.71
207145,727826,7659284,andesite-basalt,bg,200,5,53.45,11.9,12.85,6.27,2.74,1.24,0.8
207303,730645,7652380,andesite-basalt,bg,200,5.4,59.41,10.86,12.8,2.81,2.89,3.44,0.75
207222,725518,7657790,andesite-basalt,bg,200,5.7,53.17,11.68,14.48,3.13,4.83,1.45,1.56
207393,729126,7644392,andesite-basalt,bg,200,6.3,50.96,13.01,15.5,5.71,3.7,1.52,2.14
207164,728812,7658169,andesite-basalt,bg,200,6.8,54.88,11.72,14.42,2.2,4.61,2.75,1
207163,728784,7658535,andesite-basalt,bg,200,7.5,57.1,11.58,11.77,2.6,3.68,2.17,1.59
207178,729393,7657719,andesite-basalt,bg,200,7.5,54.78,11.79,15.43,4,2.76,1.69,1.28
207177,729329,7657659,andesite-basalt,bg,200,7.6,52.08,11.87,15.19,2.95,4.18,1.94,2.67
207223,725613,7657948,andesite-basalt,bg,200,8.2,53.78,12.04,14.04,2.59,3.86,1.83,2.07
207161,728887,7658825,andesite-basalt,bg,200,8.3,53.56,11.41,12.66,4.5,3.73,1.62,1.08
207290,730940,7653528,andesite-basalt,bg,200,8.3,52.38,12.02,13.75,3.51,3.11,2.38,2.05
207255,729956,7656531,andesite-basalt,bg,200,8.4,62.49,12.46,8.96,2.07,1.31,2.81,3.19
207496,728922,7658264,andesite-basalt,bg,200,8.5,55.57,12.54,13.39,2.54,4.17,2.44,3.42
207165,729075,7658355,andesite-basalt,bg,200,8.6,58.91,12.34,10.26,2.48,2.3,2.06,3.83
207166,729194,7658447,andesite-basalt,bg,200,9.1,53.02,12.12,13.23,3.06,3.7,1.03,4.12
207167,729427,7658341,andesite-basalt,bg,200,11.2,56.56,10.46,10.4,2.52,5.21,1.72,1.23
207282,731152,7654713,andesite-basalt,bg,200,11.9,61.79,10.8,9.83,2.08,3.33,1.24,1.74
207225,725788,7658300,andesite-basalt,bg,200,14.4,55.87,11.81,11.1,1.87,5.23,3.57,0.77
207179,729521,7657761,andesite-basalt,bg,200,8.99,53.16,12.97,12.22,3.74,3.27,0.85,4.42
207181,729899,7657557,andesite-basalt,bg,200,10.71,54.95,11.28,11.74,4.04,4.35,0.52,1.66
207209,724622,7659061,andesite-basalt,bg,200,10.13,50.77,13.06,14.8,3.05,4.37,2.62,1.21
207214,724328,7658557,andesite-basalt,bg,200,8.27,53.9,11.98,14.57,2.13,4.29,2.01,2.24
207215,724420,7658786,andesite-basalt,bg,200,9.53,55.21,12.62,11.44,1.78,5.42,4.77,0.3
207442,723539,7640068,microdiorite,bg,200,1.4,54.81,13.28,16.87,3.74,4.12,2.56,0.12
207503,728308,7657775,microdiorite,bg,200,3.2,53.43,13.32,10.98,4.41,9.02,5.23,0.28
207498,727917,7658274,microdiorite,bg,200,3.4,52.17,13.17,16.65,3.98,5.81,4.24,0.29
207378,729388,7645799,microdiorite,bg,200,4.9,62.26,12.42,8,3.72,3.35,4.19,0.06
207506,728320,7658095,microdiorite,bg,200,5.1,63.23,12.84,7.62,2.78,3.03,5.03,0.06
207505,728654,7657244,microdiorite,bg,200,5.3,66.76,13.3,5.02,1.51,4.4,6.64,0.12
207504,728161,7657756,microdiorite,bg,200,5.3,62.49,16.52,3.14,2,5.71,7.01,0.52
207337,729773,7649083,microdiorite,bg,200,5.8,61.32,10.96,12.43,1.72,2.89,5.72,0.03
207367,730566,7647447,microdiorite,bg,200,5.8,58.76,12.42,11.97,2.14,3.86,4,0.1
207315,730408,7651324,microdiorite,bg,200,6.71,57.42,11.84,14.89,2.25,2.34,5.5,0.04
207176,729126,7657579,microdiorite,bg,200,7,58.82,12.59,12.65,1.38,2.9,2.92,3.49
207431,724288,7641307,microdiorite,bg,200,7.1,67.85,12.76,4.17,2.41,2.71,5.28,0.39
207419,725472,7641977,dacite,bg,200,3.6,66.03,12.42,9.16,3.59,1.16,2.97,0.29
207422,725729,7641757,dacite,bg,200,4.9,70.53,11.71,6.82,2.17,0.59,2.52,2.59
207435,724888,7640539,dacite,bg,200,4.9,66.93,11.81,8.48,2.14,1.08,3.6,1.96
207446,723930,7639424,dacite,bg,200,6.7,71.83,11.55,6.04,1.36,1.02,2.8,2.74
207385,730193,7644972,dacite,bg,200,9.5,69.65,11.43,5.88,2.34,1.25,0.92,4.33
203323,727740,7659500,dacite,bg,200,11,66,12,7,2,4,1.08,2.16
207356,732898,7647646,dacite,bg,200,10.6,71.69,10.22,5.41,2.32,2.6,0.92,1.61
207316,731672,7650361,dacite,bg,200,10.9,66.35,10.65,7.81,2.51,2.93,0.08,2.01
207273,730967,7655831,dacite,bg,200,11.9,66.38,10.72,5.78,3.7,3.17,0.07,2.12
207459,727796,7655960,equigranular granite,bg,200,6.6,77.11,11.61,1.25,0.07,0.52,3.54,4.5
207491,728319,7651377,equigranular granite,bg,200,6.6,76.82,11.29,1.81,0.08,0.64,2.84,4.75
203332,727861,7657100,equigranular granite,bg,200,7.3,77.88,11.16,1.9,0.15,0.73,2.74,4.16
203333,728741,7654733,equigranular granite,bg,200,7.5,78.64,10.43,1.41,0.49,0.9,1.41,4.48
