x,z,d18O,temp
4760.94522806375,2018.8679245283,5.5,150
26184.2828356842,2679.24528301887,5.5,150
54242.5352628687,2679.24528301887,5.5,150
75537.64425719,2018.8679245283,5.5,150
18245.0998351346,905.660377358491,5.5,250
26457.2265982781,1490.56603773585,5.5,250
53645.3562923612,1528.30188679245,5.5,250
62027.8439274592,867.924528301887,5.5,250
170.36087195457,2735.84905660377,5.5,110
25839.8974171094,3132.07547169811,5.5,110
54869.0236307016,3132.07547169811,5.5,110
80168.5290346217,2716.98113207547,5.5,110
25424.0703425536,3849.05660377358,5.5,50
55422.2385052207,3830.18867924528,5.5,50
34455.0283934787,2867.92452830189,7,150
46202.6012090126,2867.92452830189,7,150
28133.3577578311,2754.71698113208,5.8,150
52502.2897966661,2754.71698113208,5.8,150
31141.2346583623,1735.84905660377,5.8,250
49104.2315442389,1754.71698113208,5.8,250
35817.9153691152,905.660377358491,5.8,350
44456.8602308115,886.792452830189,5.8,350
40386.5176772303,2962.2641509434,7.6,150
7076.38761677963,3867.92452830189,10,50
12707.4555779447,3867.92452830189,10,50
18142.5169444953,3849.05660377358,10,50
40379.1903278989,3886.79245283019,10,50
58921.0478109544,3867.92452830189,10,50
64843.3779080418,3867.92452830189,10,50
73288.1480124565,3849.05660377358,10,50
6041.39952372229,207.547169811321,5,250
74293.8267081883,207.547169811321,5,250
53912.8045429566,283.018867924529,5,350
26433.4127129511,245.283018867925,5,350
7261.40318739696,2773.58490566038,5.8,110
24092.3246015754,3132.07547169811,5.8,110
56422.421688954,3132.07547169811,5.8,110
73088.4777431764,2792.45283018868,5.8,110
9633.63253343103,3207.54716981132,6.1,90
22461.9893753435,3339.62264150943,6.1,90
58096.7210111742,3377.35849056604,6.1,90
70503.7552665323,3169.81132075472,6.1,90
34784.7591133907,264.150943396226,4,410
45367.2833852354,264.150943396226,4,410
17047.0782194541,3566.03773584906,6.7,50
63652.6836416926,3603.77358490566,6.7,50
